,BRND_CD,MKT_LN_CD,stagnate,return,first_buy,rebuy,sales_total
200,BDL,283,35,4,22,256,616.5499204000006
201,BDL,285,40,4,66,409,1257.096727299998
202,BDL,304,66,6,105,344,903.0484130000023
203,BDL,324,234,10,314,1960,4927.626901500019
204,BDL,326,17,1,24,131,290.22805080000006
205,BDL,328,330,32,597,1897,4058.2058168999815
206,BDL,331,61,0,89,17,29.4556485
207,BDL,351,0,0,1,0,0.0255645
208,BDL,352,0,0,0,2,2.7217744
209,BDL,355,17,0,12,15,17.3225813
210,BDL,367,19,1,36,103,437.2983869999999
211,BDL,374,506,59,1180,3290,8957.101129499973
212,BDL,375,270,41,589,1925,6286.608909999994
213,BDL,401,1,2,1,0,-0.1209678
214,BDL,402,514,64,646,3005,9207.145478899969
215,BDL,436,1,1,0,0,-0.5
216,BDL,448,1,0,2,2,4.5362905
217,BDL,455,0,0,0,1,10.0
218,BDL,463,122,12,204,574,2010.677474900007
219,BDM,004,1,0,0,0,0.0
220,BDM,040,1,0,0,0,0.0967742
221,BDO,003,855,193,1167,1053,617.0199708999993
222,BDO,004,1712,364,2022,1947,977.0409570000222
223,BDO,025,134,65,137,97,71.9788157999999
